t_s,umax
17.27230815,2.55
17.32837482,2.55
17.3845749,2.55
17.44090859,2.55
17.49737612,2.55
17.55397771,2.55
17.61071358,2.55
17.66758395,2.55
17.72458904,2.55
17.78172907,2.55
17.83900428,2.55
17.89641486,2.55
17.95396106,2.55
18.01164309,2.55
18.06946118,2.55
18.12741554,2.55
18.18550641,2.55
18.243734,2.55
18.30209853,2.55
18.36060024,2.55
18.41923935,2.55
18.47801607,2.55
18.53693064,2.55
18.59598327,2.55
18.6551742,2.55
18.71450365,2.55
18.77397183,2.55
18.83357899,2.55
18.89332534,2.55
18.95321111,2.55
19.01323653,2.55
19.07340182,2.55
19.13370721,2.55
19.19415292,2.55
19.25473918,2.55
19.31546622,2.55
19.37633427,2.55
19.43734355,2.55
19.4984943,2.55
19.55978673,2.55
19.62122108,2.55
19.68279757,2.55
19.74451644,2.55
19.80637791,2.55
19.86838221,2.55
19.93052958,2.55
19.99282023,2.55
20.0552544,2.55
20.11783232,2.55
20.18055422,2.55
20.24342033,2.55
20.30643088,2.55
20.3695861,2.55
20.43288623,2.55
20.49633148,2.55
20.5599221,2.55
20.62365832,2.55
20.68754036,2.55
20.75156846,2.55
20.81574285,2.55
20.88006376,2.55
20.94453143,2.55
21.00914609,2.55
21.07390797,2.55
21.13881731,2.55
21.20387434,2.55
21.26907928,2.55
21.33443239,2.55
21.39993388,2.55
21.465584,2.55
21.53138297,2.55
21.59733104,2.55
21.66342844,2.55
21.7296754,2.55
21.79607217,2.55
21.86261896,2.55
21.92931603,2.55
21.9961636,2.55
22.06316192,2.55
22.13031122,2.55
22.19761173,2.55
22.2650637,2.55
22.33266735,2.55
22.40042294,2.55
22.46833069,2.55
22.53639084,2.55
22.60460363,2.55
22.6729693,2.55
22.7414881,2.55
22.81016024,2.55
22.87898599,2.55
22.94796556,2.55
23.01709921,2.55
23.08638718,2.55
23.1558297,2.55
23.22542701,2.55
23.29517935,2.55
23.36508697,2.55
23.43515011,2.55
23.505369,2.55
23.57574389,2.55
23.64627501,2.55
23.71696262,2.55
23.78780695,2.55
23.85880824,2.55
23.92996673,2.55
24.00128268,2.55
24.07275632,2.55
24.14438789,2.55
24.21617764,2.55
24.28812581,2.55
24.36023264,2.55
24.43249838,2.55
24.50492328,2.55
24.57750757,2.55
24.6502515,2.55
24.72315532,2.55
24.79621927,2.55
24.8694436,2.55
24.94282855,2.55
25.01637436,2.55
25.09008129,2.55
25.16394958,2.55
25.23797947,2.55
25.31217122,2.55
25.38652506,2.55
25.46104126,2.55
25.53572004,2.55
25.61056167,2.55
25.68556638,2.55
25.76073443,2.55
25.83606607,2.55
25.91156154,2.55
25.98722109,2.55
26.06304497,2.55
26.13903343,2.55
26.21518672,2.55
26.29150509,2.55
26.36798879,2.55
26.44463806,2.55
26.52145317,2.55
26.59843436,2.55
26.67558187,2.55
26.75289597,2.55
26.83037689,2.55
26.90802491,2.55
26.98584025,2.55
27.06382319,2.55
27.14197396,2.55
27.22029283,2.55
27.29878004,2.55
27.37743585,2.55
27.45626051,2.55
27.53525427,2.55
27.61441739,2.55
27.69375012,2.55
27.77325271,2.55
27.85292543,2.55
27.93276851,2.55
28.01278223,2.55
28.09296683,2.55
28.17332257,2.55
28.2538497,2.55
28.33454848,2.55
28.41541917,2.55
28.49646201,2.55
28.57767728,2.55
28.65906522,2.55
28.74062609,2.55
28.82236015,2.55
28.90426766,2.55
28.98634887,2.55
29.06860404,2.55
29.15103343,2.55
29.2336373,2.55
29.3164159,2.55
29.3993695,2.55
29.48249835,2.55
29.56580272,2.55
29.64928285,2.55
29.73293902,2.55
29.81677148,2.55
29.9007805,2.55
29.98496632,2.55
30.06932922,2.55
30.15386946,2.55
30.23858728,2.55
30.32348297,2.55
30.40855678,2.55
30.49380896,2.55
30.57923979,2.55
30.66484952,2.55
30.75063842,2.55
30.83660675,2.55
30.92275477,2.55
31.00908275,2.55
31.09559095,2.55
31.18227964,2.55
31.26914907,2.55
31.35619951,2.55
31.44343123,2.55
31.5308445,2.55
31.61843957,2.55
31.70621671,2.55
31.79417619,2.55
31.88231827,2.55
31.97064323,2.55
32.05915131,2.55
32.14784281,2.55
32.23671797,2.55
32.32577706,2.55
32.41502036,2.55
32.50444813,2.55
32.59406064,2.55
32.68385815,2.55
32.77384094,2.55
32.86400927,2.55
32.95436342,2.55
33.04490364,2.55
33.13563022,2.55
33.22654342,2.55
33.3176435,2.55
33.40893074,2.55
33.50040542,2.55
33.59206779,2.55
33.68391813,2.55
33.77595672,2.55
33.86818382,2.55
33.9605997,2.55
34.05320464,2.55
34.14599891,2.55
34.23898278,2.55
34.33215652,2.55
34.4255204,2.55
34.51907471,2.55
34.6128197,2.55
34.70675567,2.55
34.80088287,2.55
34.89520158,2.55
34.98971208,2.55
35.08441464,2.55
35.17930954,2.55
35.27439705,2.55
35.36967745,2.55
35.46515101,2.55
35.560818,2.55
35.65667871,2.55
35.75273342,2.55
35.84898238,2.55
35.94542589,2.55
36.04206423,2.55
36.13889766,2.55
36.23592646,2.55
36.33315092,2.55
36.43057131,2.55
36.52818791,2.55
36.62600099,2.55
36.72401085,2.55
36.82221775,2.55
36.92062197,2.55
37.0192238,2.55
37.11802352,2.55
37.2170214,2.55
37.31621772,2.55
37.41561277,2.55
37.51520683,2.55
37.61500017,2.55
37.71499309,2.55
37.81518585,2.55
37.91557875,2.55
38.01617206,2.55
38.11696607,2.55
38.21796106,2.55
38.31915732,2.55
38.42055512,2.55
38.52215474,2.55
38.62395649,2.55
38.72596063,2.55
38.82816745,2.55
38.93057724,2.55
39.03319028,2.55
39.13600685,2.55
39.23902725,2.55
39.34225175,2.55
39.44568065,2.55
39.54931423,2.55
39.65315277,2.55
39.75719656,2.55
39.86144589,2.55
39.96590105,2.55
40.07056232,2.55
40.17542999,2.55
40.28050435,2.55
40.38578569,2.55
40.49127429,2.55
40.59697045,2.55
40.70287445,2.55
40.80898658,2.55
40.91530713,2.55
41.0218364,2.55
41.12857467,2.55
41.23552223,2.55
41.34267937,2.55
41.45004639,2.55
41.55762357,2.55
41.66541121,2.55
41.7734096,2.55
41.88161903,2.55
41.99003978,2.55
42.09867217,2.55
42.20751647,2.55
42.31657298,2.55
42.42584199,2.55
42.5353238,2.55
42.6450187,2.55
42.75492699,2.55
42.86504896,2.55
42.9753849,2.55
43.0859351,2.55
43.19669988,2.55
43.30767951,2.55
43.4188743,2.55
43.53028454,2.55
43.64191052,2.55
43.75375255,2.55
43.86581092,2.55
43.97808593,2.55
44.09057787,2.55
44.20328705,2.55
44.31621375,2.55
44.42935829,2.55
44.54272095,2.55
44.65630204,2.55
44.77010185,2.55
44.88412069,2.55
44.99835885,2.55
45.11281664,2.55
45.22749434,2.55
45.34239228,2.55
45.45751073,2.55
45.57285001,2.55
45.68841042,2.55
45.80419226,2.55
45.92019583,2.55
46.03642142,2.55
46.15286936,2.55
46.26953992,2.55
46.38643343,2.55
46.50355018,2.55
46.62089048,2.55
46.73845463,2.55
46.85624293,2.55
46.97425569,2.55
47.09249321,2.55
47.2109558,2.55
47.32964376,2.55
47.4485574,2.55
47.56769702,2.55
47.68706293,2.55
47.80665544,2.55
47.92647484,2.55
48.04652146,2.55
48.16679559,2.55
48.28729755,2.55
48.40802764,2.55
48.52898616,2.55
48.65017343,2.55
48.77158976,2.55
48.89323545,2.55
49.01511081,2.55
49.13721616,2.55
49.2595518,2.55
49.38211804,2.55
49.50491519,2.55
49.62794356,2.55
49.75120347,2.55
49.87469522,2.55
49.99841913,2.55
50.1223755,2.55
50.24656465,2.55
50.37098689,2.55
50.49564254,2.55
50.6205319,2.55
50.74565529,2.55
50.87101302,2.55
50.99660541,2.55
51.12243277,2.55
51.24849541,2.55
51.37479366,2.55
51.50132781,2.55
51.62809819,2.55
51.75510512,2.55
51.88234891,2.55
52.00982987,2.55
52.13754832,2.55
52.26550458,2.55
52.39369896,2.55
52.52213179,2.55
52.65080337,2.55
52.77971403,2.55
52.90886409,2.55
53.03825385,2.55
53.16788365,2.55
53.2977538,2.55
53.42786462,2.55
53.55821643,2.55
53.68880954,2.55
53.81964428,2.55
53.95072097,2.55
54.08203993,2.55
54.21360148,2.55
54.34540594,2.55
54.47745364,2.55
54.60974488,2.55
54.74228001,2.55
54.87505933,2.55
55.00808317,2.55
55.14135186,2.55
55.27486572,2.55
55.40862506,2.55
55.54263022,2.55
55.67688152,2.55
55.81137928,2.55
55.94612383,2.55
56.08111549,2.55
56.21635459,2.55
56.35184146,2.55
56.48757641,2.55
56.62355978,2.55
56.75979189,2.55
56.89627308,2.55
57.03300365,2.55
57.16998396,2.55
57.30721431,2.55
57.44469504,2.55
57.58242648,2.55
57.72040896,2.55
57.8586428,2.55
57.99712833,2.55
58.13586589,2.55
58.27485581,2.55
58.4140984,2.55
58.55359402,2.55
58.69334297,2.55
58.83334561,2.55
58.97360225,2.55
59.11411322,2.55
59.25487887,2.55
59.39589953,2.55
59.53717551,2.55
